school,country_name,continent
ironhack,Germany,Europe
ironhack,Mexico,"North America"
ironhack,Netherlands,Europe
ironhack,Brazil,"South America"
ironhack,France,Europe
ironhack,"United States","North America"
ironhack,Spain,Europe
ironhack,Spain,Europe
ironhack,Portugal,Europe
ironhack,NULL,Other
app-academy,"United States","North America"
app-academy,"United States","North America"
app-academy,NULL,Other
springboard,NULL,Other
general-assembly,"United States","North America"
general-assembly,NULL,Other
general-assembly,Canada,"North America"
le-wagon,Australia,Australia
le-wagon,Morocco,Other
le-wagon,Argentina,"South America"
le-wagon,Belgium,Europe
le-wagon,Mexico,"North America"
le-wagon,Netherlands,Europe
le-wagon,Brazil,"South America"
le-wagon,Spain,Europe
le-wagon,France,Europe
le-wagon,France,Europe
le-wagon,Portugal,Europe
le-wagon,Indonesia,Other
le-wagon,France,Europe
le-wagon,Brazil,"South America"
le-wagon,France,Europe
le-wagon,Canada,"North America"
le-wagon,China,Asia
le-wagon,Japan,Asia
le-wagon,France,Europe
le-wagon,Germany,Europe
le-wagon,France,Europe
le-wagon,Switzerland,Europe
le-wagon,Spain,Europe
le-wagon,France,Europe
le-wagon,Singapore,Asia
le-wagon,England,Europe
le-wagon,"United Arab Emirates","United Arab Emirates"
le-wagon,Germany,Europe
le-wagon,Chile,Europe
le-wagon,France,Europe
le-wagon,Germany,Europe
le-wagon,Mauritius,Africa
le-wagon,NULL,Other
le-wagon,Switzerland,Europe
le-wagon,Portugal,Europe
le-wagon,"South Africa",Other
le-wagon,France,Europe
le-wagon,Australia,Australia
